name,author,isbn,urls,passwds
大明兴衰三百年,吴晗,9787511382856,"https://url66.ctfile.com/d/14804066-46659372-28aaa8,https://sobooks.lanzouo.com/b03ogzcub,https://sobooks.cloud/2022/01/19358.epub","666888,25uj,"
趋势投资,丁圣元,9787115545800,"https://url66.ctfile.com/d/14804066-46659276-a70354,https://sobooks.lanzouo.com/b03ogzadc,https://sobooks.cloud/2022/01/19355.epub","666888,94f7,"
芥川龙之介妄想者手记,芥川龙之介,9787559640901,"https://url66.ctfile.com/d/14804066-46659294-b9cf3e,https://sobooks.lanzouo.com/b03ogzb6b,https://sobooks.cloud/2022/01/19356.epub","666888,1hc1,"
紫与黑：K.J.帕克短篇小说集,K.J.帕克,9787536496101,"https://url66.ctfile.com/d/14804066-46659270-dcb539,https://sobooks.lanzouo.com/b03ogz9tc,https://sobooks.cloud/2022/01/19354.epub","666888,866t,"
毒枪手：慕尼黑的秘密间谍,沙希利・浦洛基,9787520152785,"https://url66.ctfile.com/d/14804066-46659255-736fec,https://sobooks.lanzouo.com/b03ogz8kh,https://sobooks.cloud/2022/01/19353.epub","666888,538l,"
行为投资者,丹尼尔・克罗斯比,9787521727784,"https://url66.ctfile.com/d/14804066-46636002-effa68,https://sobooks.lanzouo.com/b03ogqmah,https://sobooks.cloud/2022/01/19350.epub","666888,89tx,"
伊藤博文：近代日本奠基人,伊藤之雄,9787520182461,"https://url66.ctfile.com/d/14804066-46635996-2776fd,https://sobooks.lanzouo.com/b03ogqlne,https://sobooks.cloud/2022/01/19349.epub","666888,fxq3,"
天涯双探4：双城血案,七名,9787532176687,"https://url66.ctfile.com/d/14804066-46636005-b7901f,https://sobooks.lanzouo.com/b03ogqmna,https://sobooks.cloud/2022/01/19351.epub","666888,fnf7,"
隐谷路,罗伯特・科尔克,9787521735147,"https://url66.ctfile.com/d/14804066-46635975-c9319d,https://sobooks.lanzouo.com/b03ogqk7c,https://sobooks.cloud/2022/01/19346.epub","666888,boe6,"
一日三秋,刘震云,9787536094420,"https://url66.ctfile.com/d/14804066-46635993-41f685,https://sobooks.lanzouo.com/b03ogqkza,https://sobooks.cloud/2022/01/19348.epub","666888,cgc9,"
遇到百分之百的女孩,村上春树,9787532787999,"https://url66.ctfile.com/d/14804066-46635990-114216,https://sobooks.lanzouo.com/b03ogqkid,https://sobooks.cloud/2022/01/19347.epub","666888,2lgj,"
我们为什么长这样,爱丽丝・罗伯茨,9787571010683,"https://url66.ctfile.com/d/14804066-46635969-a05e70,https://sobooks.lanzouo.com/b03ogqjrg,https://sobooks.cloud/2022/01/19345.epub","666888,h9qe,"
蚁群,汤问棘,9787552036589,"https://url66.ctfile.com/d/14804066-46635963-8b31c9,https://sobooks.lanzouo.com/b03ogqj3c,https://sobooks.cloud/2022/01/19344.epub","666888,9r63,"
欧·亨利小说全集（全6册）,欧・亨利,9787020136919,"https://url66.ctfile.com/d/14804066-46601832-9399bd,https://sobooks.lanzouo.com/b03oggxha,https://sobooks.cloud/2022/01/19340.epub","666888,47pw,"
古希腊文明的光芒,赵林,9787115548559,"https://url66.ctfile.com/d/14804066-46601829-9179b0,https://sobooks.lanzouo.com/b03oggx2f,https://sobooks.cloud/2022/01/19339.epub","666888,39qk,"
石天金山,米兰迪・里沃,9787514233841,"https://url66.ctfile.com/d/14804066-46601823-6219b4,https://sobooks.lanzouo.com/b03oggwpc,https://sobooks.cloud/2022/01/19338.epub","666888,aqp4,"
长期主义,高德威,9787521735789,"https://url66.ctfile.com/d/14804066-46601820-84dbde,https://sobooks.lanzouo.com/b03oggw8f,https://sobooks.cloud/2022/01/19337.epub","666888,fg5d,"
华丽人生,伊坂幸太郎,9787513346887,"https://url66.ctfile.com/d/14804066-46601814-e50a29,https://sobooks.lanzouo.com/b03oggvof,https://sobooks.cloud/2022/01/19336.epub","666888,4i3z,"
黄雀计划,鬼庖丁,9787505751095,"https://url66.ctfile.com/d/14804066-46601784-cedc01,https://sobooks.lanzouo.com/b03oggv8j,https://sobooks.cloud/2022/01/19335.epub","666888,18gc,"
地中海世界一万五千年,阿兰・布隆迪,9787541160523,"https://url66.ctfile.com/d/14804066-46558686-a558ff,https://sobooks.lanzouo.com/b03og7v5c,https://sobooks.cloud/2022/01/19328.epub","666888,ffk8,"
厌女：日本的女性嫌恶,上野千鹤子,9787542645715,"https://url66.ctfile.com/d/14804066-46558695-419c74,https://sobooks.lanzouo.com/b03og7vda,https://sobooks.cloud/2022/01/19329.epub","666888,8djn,"
常识的力量,梁宇峰,9787521734270,"https://url66.ctfile.com/d/14804066-46558665-0d3fef,https://sobooks.lanzouo.com/b03og7usj,https://sobooks.cloud/2022/01/19326.epub","666888,4g2a,"
那猫那人那城,朱天心,9787555911043,"https://url66.ctfile.com/d/14804066-46558680-4ef6d2,https://sobooks.lanzouo.com/b03og7uxe,https://sobooks.cloud/2022/01/19327.epub","666888,9ga1,"
百万个明天,秦萤亮,9787570216451,"https://url66.ctfile.com/d/14804066-46558635-a023e2,https://sobooks.lanzouo.com/b03og7u4f,https://sobooks.cloud/2022/01/19325.epub","666888,52nl,"
阴翳礼赞（作家榜经典文库）,谷崎润一郎,9787533966249,"https://url66.ctfile.com/d/14804066-46510512-d6a4f4,https://sobooks.lanzouo.com/b03ofzbxc,https://sobooks.cloud/2022/01/19320.epub","666888,3j52,"
老后两代破产,NHK特别节目录制组,9787532786374,"https://url66.ctfile.com/d/14804066-46509186-e8a50a,https://sobooks.lanzouo.com/b03ofzb6f,https://sobooks.cloud/2022/01/19318.epub","666888,ak1k,"
反内卷,黄徽,9787308216647,"https://url66.ctfile.com/d/14804066-46509174-3395eb,https://sobooks.lanzouo.com/b03ofzajc,https://sobooks.cloud/2022/01/19317.epub","666888,essw,"
江湖,华发生,9787559654649,"https://url66.ctfile.com/d/14804066-46509189-867ecf,https://sobooks.lanzouo.com/b03ofzbih,https://sobooks.cloud/2022/01/19319.epub","666888,5sl5,"
再袭面包店,村上春树,9787532788064,"https://url66.ctfile.com/d/14804066-46509159-10b869,https://sobooks.lanzouo.com/b03ofz9re,https://sobooks.cloud/2022/01/19316.epub","666888,frcg,"
成为可怕的自律人,马歇尔・古德史密斯,9787549635634,"https://url66.ctfile.com/d/14804066-46509138-f84764,https://sobooks.lanzouo.com/b03ofz9bi,https://sobooks.cloud/2022/01/19315.epub","666888,abeb,"
这真的是你的错吗,加藤谛三,9787513935883,"https://url66.ctfile.com/d/14804066-46509135-125581,https://sobooks.lanzouo.com/b03ofz8md,https://sobooks.cloud/2022/01/19314.epub","666888,745y,"
碳中和时代,汪军,9787121421570,"https://url66.ctfile.com/d/14804066-46509072-8c0a0e,https://sobooks.lanzouo.com/b03ofz5yh,https://sobooks.cloud/2022/01/19313.epub","666888,5hp3,"
父亲的眼泪（短经典精选）,约翰・厄普代克,9787020138395,"https://url66.ctfile.com/d/14804066-46495269-914042,https://sobooks.lanzouo.com/b03ofu3ja,https://sobooks.cloud/2022/01/19310.epub","666888,gzvb,"
指数基金投资攻略,翁量,9787513663335,"https://url66.ctfile.com/d/14804066-46495236-8c560f,https://sobooks.lanzouo.com/b03ofu2ch,https://sobooks.cloud/2022/01/19309.epub","666888,6vvh,"
诅咒之塔,罗杰・克劳利,9787520186902,"https://url66.ctfile.com/d/14804066-46495233-d3eab5,https://sobooks.lanzouo.com/b03ofu1sh,https://sobooks.cloud/2022/01/19308.epub","666888,c2o4,"
元宇宙通证,邢杰等,9787500167044,"https://url66.ctfile.com/d/14804066-46495230-a1a2a6,https://sobooks.lanzouo.com/b03ofu1ed,https://sobooks.cloud/2022/01/19307.epub","666888,1hmg,"
张医生与王医生,伊险峰/杨樱,9787549636556,"https://url66.ctfile.com/d/14804066-46495158-119ba8,https://sobooks.lanzouo.com/b03oftzzc,https://sobooks.cloud/2022/01/19305.epub","666888,hwkx,"
阅读变现,山口周,9787557024840,"https://url66.ctfile.com/d/14804066-46495137-ce0065,https://sobooks.lanzouo.com/b03oftz7e,https://sobooks.cloud/2022/01/19304.epub","666888,7ot1,"
第一人称单数,村上春树,9787536094857,"https://url66.ctfile.com/d/14804066-46495161-492fea,https://sobooks.lanzouo.com/b03ofu0ra,https://sobooks.cloud/2022/01/19306.epub","666888,5sxl,"
美国货币史（精校本）,米尔顿・弗里德曼,9787301317617,"https://url66.ctfile.com/d/14804066-46495116-563afa,https://sobooks.lanzouo.com/b03oftu9g,https://sobooks.cloud/2022/01/19301.epub","666888,45qq,"
纳粹猎人,安德鲁・纳戈尔斯基,9787520150019,"https://url66.ctfile.com/d/14804066-46495134-c6565d,https://sobooks.lanzouo.com/b03oftxxi,https://sobooks.cloud/2022/01/19303.epub","666888,fmea,"
要把读书当回事,季羡林,9787555289203,"https://url66.ctfile.com/d/14804066-46495131-52b987,https://sobooks.lanzouo.com/b03oftw8h,https://sobooks.cloud/2022/01/19302.epub","666888,43no,"
俄罗斯套娃（短经典精选）,阿道夫・比奥伊・卡萨雷斯,9787020164646,"https://url66.ctfile.com/d/14804066-46456953-433f88,https://sobooks.lanzouo.com/b03ofkueh,https://sobooks.cloud/2022/01/19299.epub","666888,6j5b,"
投资核心资产,王德伦等,9787111664956,"https://url66.ctfile.com/d/14804066-46456350-63a464,https://sobooks.lanzouo.com/b03ofksri,https://sobooks.cloud/2022/01/19297.epub","666888,4kmm,"
雕刻大地,林璎,9787540497620,"https://url66.ctfile.com/d/14804066-46456284-ea7fce,https://sobooks.lanzouo.com/b03ofkqji,https://sobooks.cloud/2022/01/19295.epub","666888,h5lh,"
工业革命前的欧洲社会与经济,卡洛·M. 奇波拉,9787520169868,"https://url66.ctfile.com/d/14804066-46456341-eccfce,https://sobooks.lanzouo.com/b03ofkrch,https://sobooks.cloud/2022/01/19296.epub","666888,djwy,"
底层逻辑：看清这个世界的底牌,刘润,9787111691020,"https://url66.ctfile.com/d/14804066-46456278-a845b1,https://sobooks.lanzouo.com/b03ofkptc,https://sobooks.cloud/2022/01/19294.epub","666888,27fb,"
大侦探经济学,李井奎,9787521732054,"https://url66.ctfile.com/d/14804066-46455870-5121b5,https://sobooks.lanzouo.com/b03ofkpbe,https://sobooks.cloud/2022/01/19293.epub","666888,3s7u,"
非常疑犯,红眸,9787201171869,"https://url66.ctfile.com/d/14804066-46455495-489fd6,https://sobooks.lanzouo.com/b03ofkoda,https://sobooks.cloud/2022/01/19292.epub","666888,ekdg,"
身份政治,弗朗西斯・福山,9787500166863,"https://url66.ctfile.com/d/14804066-46455462-ef7266,https://sobooks.lanzouo.com/b03ofknsj,https://sobooks.cloud/2022/01/19291.epub","666888,9yzm,"
金银岛（作家榜经典文库）,罗伯特・路易斯・史蒂文森,9787521710939,"https://url66.ctfile.com/d/14804066-46422681-0e6443,https://sobooks.lanzouo.com/b03ofe1xg,https://sobooks.cloud/2022/01/19289.epub","666888,3gkb,"
非凡的成功,大卫・史文森,9787300283357,"https://url66.ctfile.com/d/14804066-46422657-fb8643,https://sobooks.lanzouo.com/b03ofdz7i,https://sobooks.cloud/2022/01/19285.epub","666888,5adj,"
我是主播,国谷裕子,9787532786923,"https://url66.ctfile.com/d/14804066-46422669-7a1694,https://sobooks.lanzouo.com/b03ofe03a,https://sobooks.cloud/2022/01/19287.epub","666888,bicz,"
投资理财红宝书,龙红亮,9787521727487,"https://url66.ctfile.com/d/14804066-46422654-d1fdca,https://sobooks.lanzouo.com/b03ofdyyj,https://sobooks.cloud/2022/01/19284.epub","666888,9hxs,"
凝视上帝,西蒙・赫弗,9787520184243,"https://url66.ctfile.com/d/14804066-46422660-355907,https://sobooks.lanzouo.com/b03ofdzne,https://sobooks.cloud/2022/01/19286.epub","666888,awi5,"
大加速：1945年以来人类世的环境史,约翰·R.麦克尼尔等,9787521724479,"https://url66.ctfile.com/d/14804066-46422639-b6d802,https://sobooks.lanzouo.com/b03ofdybg,https://sobooks.cloud/2022/01/19283.epub","666888,79rj,"
钢铁是怎样炼成的（作家榜经典文库）,尼古拉・奥斯特洛夫斯基,9787521712155,"https://url66.ctfile.com/d/14804066-46422675-b61e48,https://sobooks.lanzouo.com/b03ofe0xa,https://sobooks.cloud/2022/01/19288.epub","666888,h4v9,"
西乡隆盛与明治维新,坂野润治,9787520183741,"https://url66.ctfile.com/d/14804066-46422636-e28b19,https://sobooks.lanzouo.com/b03ofdxkj,https://sobooks.cloud/2022/01/19282.epub","666888,hzp7,"
德意志理想主义的诞生：席勒传,吕迪格尔・萨弗兰斯基,9787520183192,"https://url66.ctfile.com/d/14804066-46422570-dbdfc1,https://sobooks.lanzouo.com/b03ofdwra,https://sobooks.cloud/2022/01/19281.epub","666888,765g,"
日本美学三部曲,大西克礼,9787568290890,"https://url66.ctfile.com/d/14804066-46422555-be8ae8,https://sobooks.lanzouo.com/b03ofdw6j,https://sobooks.cloud/2022/01/19280.epub","666888,hojs,"
帝国经济风暴,张昕冉,9787213101847,"https://url66.ctfile.com/d/14804066-46397481-57efa3,https://sobooks.lanzouo.com/b03of5vti,https://sobooks.cloud/2022/01/19277.epub","666888,60ja,"
拳头（短经典精选）,彼得罗・格罗西,9787020164653,"https://url66.ctfile.com/d/14804066-46397484-20372c,https://sobooks.lanzouo.com/b03of5wkf,https://sobooks.cloud/2022/01/19278.epub","666888,beop,"
寂静的巴黎,申赋渔,9787544295178,"https://url66.ctfile.com/d/14804066-46397478-a12f24,https://sobooks.lanzouo.com/b03of5v5e,https://sobooks.cloud/2022/01/19276.epub","666888,g7ru,"
假如猫狗会说话,拉斯・弗雷德里克·H.史文德森,9787300298986,"https://url66.ctfile.com/d/14804066-46397475-6ef451,https://sobooks.lanzouo.com/b03of5uib,https://sobooks.cloud/2022/01/19275.epub","666888,4n5l,"
丝绸之路大历史,郭建龙,9787545564686,"https://url66.ctfile.com/d/14804066-46397469-01e9dd,https://sobooks.lanzouo.com/b03of5tqd,https://sobooks.cloud/2022/01/19274.epub","666888,218z,"
怀疑者年鉴,伊桑・卡宁,9787555912125,"https://url66.ctfile.com/d/14804066-46397466-462c1d,https://sobooks.lanzouo.com/b03of5ssj,https://sobooks.cloud/2022/01/19273.epub","666888,eizf,"
谎言守护人,埃马努埃尔・伯格曼,9787208171602,"https://url66.ctfile.com/d/14804066-46397457-1fe2d8,https://sobooks.lanzouo.com/b03of5sef,https://sobooks.cloud/2022/01/19272.epub","666888,9c8l,"
伊朗四千年,霍昌・纳哈万迪/伊夫・博马提,9787572602122,"https://url66.ctfile.com/d/14804066-46397418-480db9,https://sobooks.lanzouo.com/b03of5rdi,https://sobooks.cloud/2022/01/19270.epub","666888,377e,"
盘上之夜,宫内悠介,9787513343435,"https://url66.ctfile.com/d/14804066-46397415-ae79bd,https://sobooks.lanzouo.com/b03of5qyd,https://sobooks.cloud/2022/01/19269.epub","666888,76dg,"
巴黎陷落,阿利斯泰尔・霍恩,9787513936767,"https://url66.ctfile.com/d/14804066-46397424-d5885e,https://sobooks.lanzouo.com/b03of5s2d,https://sobooks.cloud/2022/01/19271.epub","666888,1iij,"
到火星去,莎拉・斯图尔特・约翰逊,9787201175126,"https://url66.ctfile.com/d/14804066-46330086-ebc02e,https://sobooks.lanzouo.com/b03oerbkf,https://sobooks.cloud/2021/12/19265.epub","666888,76ar,"
不中用的狗（短经典精选）,海因里希・伯尔,9787020164530,"https://url66.ctfile.com/d/14804066-46330158-0de28e,https://sobooks.lanzouo.com/b03oerdtg,https://sobooks.cloud/2021/12/19268.epub","666888,9c2t,"
重新发现日本：500件日本怀旧器物图鉴,岩井宏实/中林启治,9787541159732,"https://url66.ctfile.com/d/14804066-46330092-89b580,https://sobooks.lanzouo.com/b03oerbza,https://sobooks.cloud/2021/12/19266.epub","666888,3v4h,"
齐马蓝,阿拉斯泰尔・雷诺兹,9787572601187,"https://url66.ctfile.com/d/14804066-46330080-fb8765,https://sobooks.lanzouo.com/b03oerb6b,https://sobooks.cloud/2021/12/19264.epub","666888,cp2j,"
拯救你的睡眠,阿里安娜・赫芬顿,9787521730647,"https://url66.ctfile.com/d/14804066-46330023-edefcd,https://sobooks.lanzouo.com/b03oer9qj,https://sobooks.cloud/2021/12/19262.epub","666888,i2rv,"
牙买加旅馆,达芙妮・杜穆里埃,9787555912095,"https://url66.ctfile.com/d/14804066-46330044-bb7ce6,https://sobooks.lanzouo.com/b03oerafe,https://sobooks.cloud/2021/12/19263.epub","666888,gwvu,"
绞河镇的最后一夜,约翰・欧文,9787549635627,"https://url66.ctfile.com/d/14804066-46329366-d12d74,https://sobooks.lanzouo.com/b03oer94h,https://sobooks.cloud/2021/12/19261.epub","666888,e9ai,"
全球化简史,杰弗里・萨克斯,9787571007850,"https://url66.ctfile.com/d/14804066-46329342-8a743a,https://sobooks.lanzouo.com/b03oer8li,https://sobooks.cloud/2021/12/19260.epub","666888,c008,"
生命在于静止,篠原薰,9787540495053,"https://url66.ctfile.com/d/14804066-46306338-2dcc38,https://sobooks.lanzouo.com/b03oecuhg,https://sobooks.cloud/2021/12/19257.epub","666888,bvvg,"
鹤老师说经济,鹤老师,9787559655912,"https://url66.ctfile.com/d/14804066-46328898-7eaca2,https://sobooks.lanzouo.com/b03oer83a,https://sobooks.cloud/2021/12/19259.epub","666888,37zh,"
辉煌信标：美国灯塔史,埃里克・杰・多林,9787520141994,"https://url66.ctfile.com/d/14804066-46306335-a49e23,https://sobooks.lanzouo.com/b03oectsb,https://sobooks.cloud/2021/12/19256.epub","666888,1zzw,"
奇山飘香（短经典精选）,罗伯特・奥伦・巴特勒,9787020169375,"https://url66.ctfile.com/d/14804066-46306371-5f67f6,https://sobooks.lanzouo.com/b03oecv9e,https://sobooks.cloud/2021/12/19258.epub","666888,7ay8,"
大转向：世界如何步入现代,斯蒂芬・格林布拉特,9787520116169,"https://url66.ctfile.com/d/14804066-46306332-5d1074,https://sobooks.lanzouo.com/b03oecsvi,https://sobooks.cloud/2021/12/19255.epub","666888,g3a8,"
医学简史,杰克琳・杜芬,9787539076768,"https://url66.ctfile.com/d/14804066-46306131-8b15b3,https://sobooks.lanzouo.com/b03oecpkj,https://sobooks.cloud/2021/12/19254.epub","666888,ej0t,"
凡尔登战役,阿利斯泰尔・霍恩,9787565842740,"https://url66.ctfile.com/d/14804066-46306125-92e506,https://sobooks.lanzouo.com/b03oeco8b,https://sobooks.cloud/2021/12/19253.epub","666888,dmzq,"
费尔德曼发展心理学,罗伯特·S.费尔德曼,9787572219283,"https://url66.ctfile.com/d/14804066-46304748-ca8c71,https://sobooks.lanzouo.com/b03oecmxe,https://sobooks.cloud/2021/12/19251.epub","666888,2jtx,"
静默的铁证,米烛光,9787570221790,"https://url66.ctfile.com/d/14804066-46304760-0566d3,https://sobooks.lanzouo.com/b03oecnob,https://sobooks.cloud/2021/12/19252.epub","666888,h9uk,"
美利坚的民族,科林・伍达德,9787520178853,"https://url66.ctfile.com/d/14804066-46304730-7c1c53,https://sobooks.lanzouo.com/b03oeci3a,https://sobooks.cloud/2021/12/19250.epub","666888,cy4r,"
房间里的阿尔及尔女人（短经典精选）,阿西娅・吉巴尔,9787020164561,"https://url66.ctfile.com/d/14804066-46253604-20a2c5,https://sobooks.lanzouo.com/b03oe0l1e,https://sobooks.cloud/2021/12/19247.epub","666888,8cg3,"
人间词话：叶嘉莹讲评本,叶嘉莹,9787547057414,"https://url66.ctfile.com/d/14804066-46304637-b53be3,https://sobooks.lanzouo.com/b03oecg3i,https://sobooks.cloud/2021/12/19249.epub","666888,8mgk,"
煞风景的早间首班车,青崎有吾,9787513345781,"https://url66.ctfile.com/d/14804066-46253598-dbc3d9,https://sobooks.lanzouo.com/b03oe0k4b,https://sobooks.cloud/2021/12/19246.epub","666888,cfhj,"
活出最乐观的自己,马丁・塞利格曼,9787572207228,"https://url66.ctfile.com/d/14804066-46253592-db95e1,https://sobooks.lanzouo.com/b03oe0hcb,https://sobooks.cloud/2021/12/19244.epub","666888,4ayz,"
一只猫的存在主义思考,卡尔・史蒂文斯,9787201175539,"https://url66.ctfile.com/d/14804066-46253586-ff090b,https://sobooks.lanzouo.com/b03oe0geh,https://sobooks.cloud/2021/12/19243.epub","666888,2vc9,"
人的局限性,塞缪尔・约翰生,9787541160158,"https://url66.ctfile.com/d/14804066-46253595-6a77a9,https://sobooks.lanzouo.com/b03oe0ihc,https://sobooks.cloud/2021/12/19245.epub","666888,8gsd,"
玛雅三千年,西尔韦纳斯・莫利,9787545562385,"https://url66.ctfile.com/d/14804066-46253580-185e59,https://sobooks.lanzouo.com/b03oe0fxa,https://sobooks.cloud/2021/12/19242.epub","666888,gvrx,"
抱住棒棒的自己,徐慢慢心理话,9787533966355,"https://url66.ctfile.com/d/14804066-46253577-14095c,https://sobooks.lanzouo.com/b03oe0eof,https://sobooks.cloud/2021/12/19241.epub","666888,2yqz,"
混沌：开创一门新科学,詹姆斯・格雷克,9787115566287,"https://url66.ctfile.com/d/14804066-46253568-84c67c,https://sobooks.lanzouo.com/b03oe0eab,https://sobooks.cloud/2021/12/19240.epub","666888,5o6e,"
啼笑因缘,张恨水,9787569521870,"https://url66.ctfile.com/d/14804066-46253550-fa66c4,https://sobooks.lanzouo.com/b03oe0bng,https://sobooks.cloud/2021/12/19239.epub","666888,22jk,"
半小时漫画必背古诗词,陈磊,9787559456786,"https://url66.ctfile.com/d/14804066-46193481-2dac12,https://sobooks.lanzouo.com/b03odkbuh,https://sobooks.cloud/2021/12/19236.epub","666888,7ap4,"
四先生（短经典精选）,贡萨洛・曼努埃尔・塔瓦雷斯,9787020165759,"https://url66.ctfile.com/d/14804066-46193487-b331b3,https://sobooks.lanzouo.com/b03odkc5i,https://sobooks.cloud/2021/12/19237.epub","666888,cj28,"
中国的选择,马凯硕,9787521734959,"https://url66.ctfile.com/d/14804066-46193439-04aa9c,https://sobooks.lanzouo.com/b03odk93i,https://sobooks.cloud/2021/12/19231.epub","666888,gc53,"
时空旅行者的沙漏,方丈贵惠,9787513344142,"https://url66.ctfile.com/d/14804066-46193478-8541f3,https://sobooks.lanzouo.com/b03odkbgd,https://sobooks.cloud/2021/12/19235.epub","666888,1kh1,"
